,converged,last iteration,mean fitness,individuals
0,True,0,0.19059292504880726,1
1,True,58,0.24118843505558343,1
2,False,100,0.2628564260739259,0
3,True,43,0.22747797445424436,1
4,True,0,0.19966244866244853,1
5,False,100,0.2562727958152957,0
6,True,91,0.2543842344249951,1
7,True,18,0.2077893597630438,1
8,True,0,0.18885725385725372,1
9,True,0,0.21107068808384594,1
10,True,0,0.1992582972582971,1
11,True,3,0.20541747360826304,1
12,False,100,0.2758186627261625,0
13,True,69,0.2402980844552271,1
14,False,100,0.27799374930624915,0
15,True,0,0.20481782106782095,1
16,True,29,0.21185953583453573,1
17,True,0,0.19567965367965365,1
18,True,5,0.21952701465201455,1
19,True,65,0.2481541770519042,1
20,False,100,0.2506282190032188,0
21,True,25,0.21492241908418366,1
22,True,22,0.20714309241483145,1
23,True,34,0.2212711760461758,1
24,False,100,0.2630443945760121,0
25,True,61,0.249268045126916,1
26,True,0,0.2216501039809862,2
27,True,99,0.2549173448773447,1
28,True,0,0.20245718170718166,1
29,True,8,0.20280607663940992,1
